title,video_id,published_at
매일1분수어 ㅣ 데우다/국,QN2rdGg_0fo,2025-11-11T09:30:14Z
매일1분수어 l 고추장,nMcuxRV7mxw,2025-10-27T09:30:35Z
매일1분수어 l 된장,TmZtZLjp7KQ,2025-10-21T09:30:13Z
매일1분수어 ㅣ 김치,uE7kHaVXueo,2025-10-16T09:30:38Z
매일1분수어 ㅣ'파',IO-gf6NsYHg,2025-10-15T09:30:21Z
매일1분수어 차별/차이,GEIRsqsGGio,2025-10-14T09:30:09Z
"수어문장만들기 '공감, '이의'(단어활용)",6tqSUMWzgpo,2025-10-13T09:30:07Z
매일1분수어 ㅣ 제목,p7hFFuBNmCI,2025-10-02T09:30:24Z
매일1분수어 ㅣ 만나다/헤어지다,BTLuZtRVEmw,2025-09-29T09:30:13Z
매일1분수어 ㅣ 결혼/이혼,f4sSEL5vAX0,2025-09-25T09:30:33Z
매일1분수어  l 파악하다,pYVqlma5gHs,2025-09-17T09:30:26Z
매일1분수어 ㅣ 이의,iNcnGLAvj4g,2025-09-15T09:30:31Z
매일 1분수어 ㅣ 공감,q8u16H1Gvls,2025-09-11T09:30:24Z
매일1분수어 ㅣ 부정,0q3roP7e7OI,2025-09-10T09:30:00Z
경제 관련 수어회화문,yQMVAEDgd1g,2025-09-08T09:30:37Z
매일1분수어 ㅣ 긍정,e8ABcnH_zTg,2025-09-03T09:30:31Z
매일1분수어 ㅣ 낳다,NS64oSlAIVE,2025-09-02T09:30:19Z
매일1분수어 l 더럽다,DY1hbaByZ4s,2025-08-27T09:30:07Z
매일1분수어 ㅣ 화나다,ZlLoQiJdS6A,2025-08-26T09:30:16Z
매일 1분수어 ㅣ 예민한다,dbNePy0MVps,2025-08-22T09:30:32Z
매일1분수어 l 비싸다/싸다,to6v6pfy0KE,2025-08-20T09:30:35Z
매일1분수어 ㅣ 가난하다,2xPLyBmynRs,2025-08-19T09:30:03Z
매일1분수어 ㅣ 부자,mqS0fiiZU88,2025-08-18T09:30:21Z
매일1분수어 l 오르다/내리다,-mIEtRD_D1o,2025-08-13T09:30:00Z
매일1분수어 l 경제,Ov2GCkZSddk,2025-08-11T11:30:17Z
매일1분수어 ㅣ 버리다,TWqO1pVLCzw,2025-08-07T09:30:30Z
매일1분수어 ㅣ 기억하다,yo7qy9PU9R0,2025-08-06T09:30:42Z
매일1분수어 ㅣ 잊다,Na5R2_9ES3s,2025-08-05T09:30:23Z
매일1분수어 l 고기,bFVnScbpYGk,2025-08-04T10:30:21Z
매일1분수어 l 껌,0VGx6uLNl14,2025-07-31T09:30:00Z
매일1분수어 ㅣ 사탕,2aeaWj6KqD0,2025-07-30T09:30:01Z
매일1분수어 ㅣ 과자,aBrOeKjDdF8,2025-07-29T09:30:00Z
매일1분수어 ㅣ 떡,ke5NzGnnGMo,2025-07-28T09:30:31Z
매일1분수어 ㅣ 케이크,fnnFaw-LGWw,2025-07-24T09:30:19Z
매일1분수어 ㅣ 빵,hE2km-DMmLQ,2025-07-23T09:30:33Z
매일1분수어 ㅣ 모기,UTvJF0AIOyY,2025-07-22T09:30:16Z
매일1분수어 ㅣ 개미,28tlqS7VbTM,2025-07-21T09:30:00Z
매일1분수어ㅣ 원숭이,jDl3cTuivZw,2025-07-17T09:30:32Z
매일1분수어ㅣ늑대,ByZ6TykGbnc,2025-07-16T09:30:07Z
매일1분수어 I 다람쥐,7mL1zCnTPwo,2025-07-15T09:30:05Z
매일1분수어 l 뱀,zxayOAIaImQ,2025-07-14T09:30:40Z
매일1분수어 l 닭 #수어 #수화,1ZC7nhFJr9c,2025-07-11T09:30:02Z
매일1분수어 l 거북이 #수어 #수화,fXexjKQV_Cw,2025-07-10T09:30:20Z
매일1분수어 l 오리 #수어 #수화,K6o8h-eIoEc,2025-07-09T09:30:11Z
매일1분수어 l 호랑이,ygZt9hb4ihQ,2025-07-08T12:40:03Z
매일1분수어 l 곰 #수어 #수화,QQGwtOWseGM,2025-07-07T09:30:15Z
매일1분수어 l 쥐 #수어 #수화,73w2KeQ5FqA,2025-07-04T09:30:04Z
매일1분수어 l 돼지 #수어 #수화,jka8WT5K4gE,2025-07-03T09:30:24Z
매일1분수어 l 토끼 #수어 #수화,5aT68EVjp5I,2025-07-02T09:30:04Z
매일1분수어 l 고양이 #수어 #수화,wNdAY9O9ZEo,2025-07-01T09:30:42Z
매일1분수어 l 강아지 #수어 #수화,LKzhA8GehhU,2025-06-30T09:30:13Z
매일1분수어 l 수영 #수어 #수화,De60XlRdasY,2025-06-27T09:30:06Z
매일1분수어 l 바다 #수어 #수화,iLrzrdQEHtQ,2025-06-26T09:30:33Z
매일1분수어 l 휴가 #수어 #수화,ro3P9umyLR8,2025-06-25T09:30:38Z
매일1분수어 l 개학 #수어 #수화,TlpEn5PIOis,2025-06-24T10:40:01Z
매일1분수어 l 방학 #수어 #수화,eDliMf_-ALw,2025-06-23T09:30:22Z
매일1분수어 l 사진 #수어 #수화,Hya60he5W60,2025-06-20T09:30:11Z
매일1분수어 l 도장,86vfaoFfMoU,2025-06-19T09:30:09Z
매일1분수어 l 한글 #수어 #수화,23xuER7S0lE,2025-06-18T10:00:10Z
매일1분수어 l 모습 #수어 #수화,TbeHp3FdldI,2025-06-17T09:30:17Z
매일1분수어 l 그림 #수어 #수화,hmimMN-J3s8,2025-06-16T13:40:02Z
매일1분수어 l 잎 #수어 #수화,pLJCqhFoAUc,2025-06-13T09:30:33Z
매일1분수어 l 꽃 #수어 #수화,W9P5LQ_zVXs,2025-06-12T09:30:13Z
매일1분수어 l 돌,hdNJPty8RE4,2025-06-11T09:30:31Z
매일1분수어 l 흙 #수어 #수화,xlR826p-zyA,2025-06-10T09:30:36Z
매일1분수어 l 나무 #수어 #수화,RnojM_mjOE0,2025-06-09T09:30:26Z
매일1분수어 l 경찰 #수어 #수화,9PulOMrRM0Y,2025-06-06T09:30:08Z
매일1분수어 l 병원 #수어 #수화,AehJHlFNGxk,2025-06-05T09:30:06Z
매일1분수어 l 주민센터,Ydt4JRsLCLY,2025-06-04T09:35:00Z
매일1분수어 l 우체국,OJC12zGHkcI,2025-06-03T09:30:24Z
매일1분수어 l 은행 #수어 #수화,m8aHDTRfIfQ,2025-06-02T09:30:27Z
매일1분수어 l 경험,ltR7fjhgROo,2025-05-30T09:30:33Z
매일1분수어 l 느끼다,txT9RnmCaxM,2025-05-29T09:30:28Z
매일1분수어 l 말하다,OZLnHL5TIQE,2025-05-28T09:30:12Z
매일1분수어 l 듣다 #수어 #수화,I9Xt6G2-dCQ,2025-05-27T09:30:08Z
매일1분수어 l 보다,v7kQ3gUWEZg,2025-05-26T09:30:37Z
"매일1분수어 l 흰색, 검정",RjiFWrXgFmo,2025-05-23T09:30:12Z
"매일1분수어 l 보라색, 분홍색",MntlUygT900,2025-05-22T09:30:09Z
"매일1분수어 l 파란색, 초록색",Dw4g5tCM0hc,2025-05-21T09:30:08Z
"매일1분수어 l 빨간색,노란색",CXs2fbnxZbA,2025-05-20T09:30:07Z
매일1분수어 l 색깔,F-rz4XI-Vb0,2025-05-19T09:30:08Z
매일1분수어 l 데이트,2EwzeFlXvVg,2025-05-16T09:30:02Z
매일1분수어 l 애인,gvQP7lBvkJ0,2025-05-15T09:30:23Z
"매일1분수어 l 집,가족",Ahs0LYKEe9k,2025-05-14T09:30:08Z
"매일1분수어 l 사람,사회",ptf22UhsILw,2025-05-13T09:30:33Z
"매일1분수어 l 엄마,아빠",iCd646HU5s0,2025-05-12T09:30:32Z
"매일1분수어 l 겸손,교만",28s9MgRCOgM,2025-05-09T09:30:01Z
매일1분수어 l 솔직하다 #수어 #수화,82C9f0a8Vmk,2025-05-08T09:30:09Z
매일1분수어 l 거짓 #수어 #수화,Rv_ZfIUKm5M,2025-05-07T09:30:14Z
매일1분수어 l 오해,ebw1_FdtaT8,2025-05-06T09:30:19Z
매일1분수어 l 착각,eOJbU074ZDM,2025-05-05T09:30:31Z
매일1분수어 l 유익하다,sshL_IoDWVo,2025-05-02T10:01:21Z
매일1분수어 l 욕심,abTmURRJN2c,2025-05-01T09:30:04Z
매일1분수어 l 힘들다,PyP7hkbSaMw,2025-04-30T09:30:27Z
매일1분수어 l 약하다,LvHE9fqUgXE,2025-04-29T09:30:22Z
매일1분수어 l 부드럽다/딱딱하다,D7p4pIZVhXs,2025-04-28T09:30:10Z
매일1분수어 l 번개,X5RD2SWi_UU,2025-04-25T09:30:19Z
매일1분수어 l 바람/햇빛,xTw0u1shkgc,2025-04-24T09:40:33Z
매일1분수어 l 비/눈,-PjB0EYHL4s,2025-04-23T09:30:00Z
매일1분수어 l 밝다/어둡다,ta3lhnnv9-4,2025-04-22T09:30:37Z
매일1분수어 l 낮/밤,f7-izI6o8fw,2025-04-21T09:30:20Z
매일1분수어 l 참다,bWM7X2_GQVs,2025-04-18T09:30:19Z
매일1분수어 l 조용하다,FnCpIHijHYY,2025-04-17T09:30:12Z
매일1분수어 l 시끄럽다,t7jQZBT1GUQ,2025-04-16T09:30:36Z
매일1분수어 l 깨끗하다,CgpmrRhnud4,2025-04-15T09:30:11Z
매일1분수어 l 복잡하다,fZ5My2FoCns,2025-04-14T09:30:32Z
매일1분수어 l 중요하다,Ved0N2FlVFI,2025-04-11T09:30:30Z
매일1분수어 l 필요없다,zBri3fevxr0,2025-04-10T09:30:34Z
매일1분수어 l 필요하다,h_dpCG6cj4A,2025-04-09T09:30:21Z
매일1분수어 l 부족하다,tZ1O0QUCQKg,2025-04-08T09:30:21Z
매일1분수어 l 충분하다,5pPdHW5y_tA,2025-04-07T09:30:05Z
매일1분수어 l 지다,-9r2u8fEY50,2025-04-04T09:30:00Z
매일1분수어 l 이기다,TqgXk3D2N0I,2025-04-03T09:30:12Z
매일1분수어  l 실패,AtlqcyqyWw0,2025-04-02T09:30:10Z
매일1분수어 l 성공,8obo59RQM0k,2025-04-01T09:30:06Z
매일1분수어 l 희망,R9fyK36IX4c,2025-03-31T09:30:10Z
매일1분수어 l 반갑디ㅡ,Hh3-KXR72Jw,2025-03-28T09:30:08Z
매일1분수어 l 가르치다,rMBJx4Y6GAc,2025-03-27T09:30:30Z
매일1분수어 l 배우다,GTzhaAIN1Os,2025-03-26T09:30:07Z
매일1분수어 l 웃다,uCg0wdZNrO4,2025-03-25T09:30:24Z
매일1분수어 l 울다,aQE-BfPl588,2025-03-24T09:30:01Z
제이홉(j-hope) 콘서트 수어통역 후기,YHdh48mZzbg,2025-03-23T11:00:43Z
매일1분수어 l 뜨겁다,Pq5KvhTBRkE,2025-03-21T09:30:11Z
매일1분수어 l 따뜻하다,QJzguk_r2J4,2025-03-20T09:30:14Z
매일1분수어 l 덥다,2XREN_ZJiKo,2025-03-19T09:30:00Z
매일1분수어 l 시원하다,Fz4-P6FM4K0,2025-03-18T09:30:06Z
매일1분수어 l 춥다,x5OoXkkpfTc,2025-03-17T09:30:32Z
매일1분수어 l 괜찮아,quyVkx63tsU,2025-03-14T09:30:22Z
매일1분수어 l 미안합니다,8h3eY902zkg,2025-03-13T09:30:08Z
매일1분수어 l 고맙습니다,xCT9upJfPf8,2025-03-12T09:30:33Z
매일1분수어 l 배부르다,QX_1rqli_-k,2025-03-11T09:30:09Z
매일1분수어 l 배고프다,0a_HSnvifME,2025-03-10T09:30:00Z
수어단문 배우기2(같다/다르다/알다/모르다/궁금하다),nS8e8-e4rRY,2025-03-09T11:00:54Z
매일1분수어 l 왜?,r70LWDs7Qpw,2025-03-07T09:30:20Z
매일1분수어 l 틀리다,KeJZvik0qW8,2025-03-06T09:30:07Z
매일1분수어 l 맞다,Zik5GUm2dz8,2025-03-05T09:30:12Z
매일1분수어 l 모르다,TDOtMSzdfGs,2025-03-04T09:30:19Z
매일1분수어 l 알다,uI9iA2iUdYw,2025-02-28T09:30:33Z
매일1분수어 l 다르다,FKtQ9tUwelg,2025-02-27T09:30:08Z
매일1분수어 l 같다,95CYEAZDloU,2025-02-26T09:30:04Z
매일1분수어 l 설레다,4T4KzvJURKM,2025-02-25T09:30:02Z
매일1분수어 l #외롭다,80tmPfILrEk,2025-02-24T09:30:04Z
매일1분수어  #신나다,YzevXOJe-is,2025-02-21T09:30:11Z
매일1분수어 I 짜증,hDRbkv_wXYg,2025-02-20T09:30:16Z
매일1분수어/걱정,JZD97D3d78s,2025-02-19T09:30:09Z
매일1분수어/아프다,aBZBE6x1Xuk,2025-02-18T09:30:00Z
매일1분수어/행복해,BrjwDNde_lk,2025-02-17T09:30:05Z
수어단문 배우기1(위험하다/예쁘다/맛있다),evKwOT7pPkA,2025-02-16T11:00:51Z
매일1분수어/못생겼다 #수어교육 #수화 #수어,ovZsLsGgVe4,2025-02-14T09:30:23Z
매일1분수어/예쁘다 #수어교육 #수화 #수어,S-G5AmqRdpA,2025-02-13T09:30:10Z
매일1분수어/맛없다,HMJIHgS7Tk0,2025-02-12T09:30:07Z
맛있다~~~ #수어 #수어교육 #수화,jjk_-mQfN8E,2025-02-11T09:30:16Z
위험해요~~! #수어 #수어교육 #수화,vZQutitA-3g,2025-02-10T09:30:31Z
시로시로~~,bILoPhoqlKU,2025-02-07T09:30:16Z
좋아한다구욧!,yjw1gYtSFEs,2025-02-06T05:14:40Z
카페에서 필요한 수어 대화문,2CK5b4j_8L8,2025-01-02T23:30:00Z
시부모님이 농인일때(첫만남) 수어 대화문,tuQh8iunfmY,2024-10-23T09:30:32Z
수어회화 -등산편-,x67Fs2xW9Gk,2024-10-06T08:00:40Z
아이유콘서트 수어통역 준비과정 및 통역현장~ [2024 IU HEREH WORLD TOUR CONCERT ENCORE THE WINNING],TDaBOpcA1GE,2024-09-24T10:30:18Z
드라마 수어 해석편6,lLyglzloIbA,2024-07-29T23:00:25Z
드라마 수어 해석편5,ufbRyWkpvcg,2024-07-21T13:07:08Z
드라마수어 해석편4,lbqfFSZjaAE,2024-07-14T11:45:04Z
드라마수어 해석편3,J8vPuDoip-Q,2024-07-07T12:45:02Z
드라마수어 해석편2,NF2tL13bWCo,2024-06-30T07:30:06Z
드라마수어 해석편1,ri_1UYv7Ytw,2024-06-23T06:15:04Z
봄나들이 꽃구경(꽂 이름 수어),92-UTl7hGwk,2024-04-10T00:00:02Z
기초부터 차근차근 수어교실 9과(음식점),9T75rl64WGM,2024-04-01T09:30:03Z
